Draft-rankings-export-2025

Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,ADP,Projected Points,Auction Value
139,"Jayden Reed","GB","WR",55,5,null,151.88,8
140,"Keaton Mitchell","BAL","RB",50,7,170.1,100.29,2
141,"Wan'Dale Robinson","NYG","WR",56,14,169.5,150.72,2
142,"Drake Maye","NE","QB",20,14,null,239.45,1
143,"Rashid Shaheed","NO","WR",57,11,111.5,153.87,2
144,"Ray Davis","BUF","RB",51,7,169.5,98.12,4
145,"Marquise Brown","KC","WR",58,10,null,149.22,2
146,"Luther Burden III","CHI","WR",59,5,null,148.36,3
147,"Brenton Strange","JAX","TE",17,8,169.6,137.76,2
148,"Romeo Doubs","GB","WR",60,5,169.6,147.48,1
149,"Jalen Royals","KC","WR",61,10,169.9,113.88,1
150,"Keenan Allen","LAC","WR",62,12,null,146.82,2
151,"Adam Thielen","CAR","WR",63,14,null,146.68,1
152,"Rashod Bateman","BAL","WR",64,7,null,134.01,2
153,"Rachaad White","TB","RB",52,9,null,96.6,3
154,"Cedric Tillman","CLE","WR",65,9,null,145.66,3
155,"Isaiah Davis","NYJ","RB",53,9,170.2,103.59,"N/A"
156,"Isaiah Likely","BAL","TE",18,7,null,135.64,3
157,"Xavier Legette","CAR","WR",66,14,null,132.84,1
158,"Rico Dowdle","CAR","RB",54,14,170.1,91.85,2
159,"Chris Rodriguez Jr.","WAS","RB",55,12,170,123.33,"N/A"
160,"Najee Harris","LAC","RB",56,12,109.4,99.17,4
161,"Roschon Johnson","CHI","RB",57,5,170.1,66.55,2
162,"Tahj Brooks","CIN","RB",58,10,170.1,89.88,1
163,"Quentin Johnston","LAC","WR",67,12,169.9,125.55,1
164,"Joshua Palmer","BUF","WR",68,7,170,123.83,1
165,"Dont'e Thornton Jr.","LV","WR",69,8,170.1,143.8,"N/A"
166,"DJ Giddens","IND","RB",59,11,170,87.69,1
167,"Jerome Ford","CLE","RB",60,9,169.8,100.63,1
168,"Jaylen Wright","MIA","RB",61,12,169.3,95.46,2
169,"Kenneth Gainwell","PIT","RB",62,5,170.1,57.1,"N/A"
170,"Tutu Atwell","LAR","WR",70,8,170,125.73,"N/A"
171,"Miles Sanders","DAL","RB",63,10,170,88.25,"N/A"
172,"Jayden Higgins","HOU","WR",71,6,null,151.92,2
173,"Kendre Miller","NO","RB",64,11,170,66.38,1
174,"Calvin Austin III","PIT","WR",72,5,170.1,124.09,1
175,"Isaac Guerendo","SF","RB",65,14,null,53.31,3
176,"Kyle Pitts","ATL","TE",19,5,null,134.44,2
177,"Blake Corum","LAR","RB",66,8,170.1,78.43,1
178,"Jaylin Noel","HOU","WR",73,6,170.2,117.31,2
179,"MarShawn Lloyd","GB","RB",67,5,170,88.26,2
180,"Alec Pierce","IND","WR",74,11,170.1,122.33,1
181,"Raheem Mostert","LV","RB",68,8,170,64.22,1
182,"Will Shipley","PHI","RB",69,9,170,67.05,2
